Year	No. of records with a forename	No. of male/mostly male forename records	No. of female/mostly female forename records	No. of gender-undetermined forename records	% of records with a male/mostly male forename	% of records with a female/mostly female forename	% of records with a gender-undetermined forename	Gender ratio of (male+mostly male)/(female + mostly female) forename records	No. of records with a middle name	Avg. no. of middle names per record (for records with >=1 middle name)	No. of different forenames seen	Forename diversity (i.e., ratio of the no. of different forenames to the total no. of records per year)	% of this year's forenames not used in the previous year	Most popular forename (% of records)	Second most popular forename (% of records)	Third most popular forename (% of records)	Fourth most popular forename (% of records)	Fifth most popular forename (% of records)	Most popular middle name (% of records)	Second most popular middle name (% of records)	Third most popular middle name (% of records)	Fourth most popular middle name (% of records)	Fifth most popular middle name (% of records)
1750	447	185	261	1	41.387	58.389	0.224	0.709	3	1.000	83	0.186	45.783	Mary (12.304%)	Ann (8.725%)	Elizabeth (7.606%)	John (7.159%)	Thomas (6.488%)	Cornice (33.333%)	C (33.333%)	Josas (33.333%)	NA (NA%)	NA (NA%)
1751	584	267	314	3	45.719	53.767	0.514	0.850	6	1.167	90	0.154	51.111	Mary (11.473%)	John (10.788%)	Ann (6.849%)	William (6.507%)	Elizabeth (6.507%)	Elizabeth (28.571%)	M (14.286%)	Ann (14.286%)	Naish (14.286%)	Yart (14.286%)
1752	734	312	422	0	42.507	57.493	0.000	0.739	7	1.000	107	0.146	43.925	Mary (11.853%)	John (8.992%)	Ann (7.084%)	Thomas (6.676%)	Elizabeth (6.131%)	Burton (14.286%)	J (14.286%)	Ann (14.286%)	Waite (14.286%)	Hannah (14.286%)
1753	920	424	493	3	46.087	53.587	0.326	0.860	7	1.000	112	0.122	37.500	Mary (10.652%)	John (9.130%)	Elizabeth (7.826%)	William (7.609%)	James (6.196%)	A (14.286%)	N (14.286%)	Catherine (14.286%)	Hodges (14.286%)	Walton (14.286%)
1754	1095	498	595	2	45.479	54.338	0.183	0.837	7	1.000	125	0.114	42.400	Mary (11.050%)	John (9.498%)	Elizabeth (7.306%)	William (6.301%)	Ann (5.571%)	Hamblin (14.286%)	Priscilla (14.286%)	Ann (14.286%)	Elizabeth (14.286%)	Gibbin (14.286%)
1755	1271	569	698	4	44.768	54.917	0.315	0.815	12	1.000	117	0.092	31.624	Mary (9.756%)	John (9.048%)	Elizabeth (7.002%)	William (6.766%)	Ann (6.294%)	S (8.333%)	Anne (8.333%)	Ann (8.333%)	Brown (8.333%)	Gordon (8.333%)
1756	1594	726	861	7	45.546	54.015	0.439	0.843	15	1.000	154	0.097	43.506	Mary (11.543%)	John (9.849%)	Elizabeth (7.779%)	William (7.089%)	Ann (6.211%)	Remnent (6.667%)	Wyn (6.667%)	Arnott (6.667%)	Catherine (6.667%)	Henry (6.667%)
1757	1725	778	940	7	45.101	54.493	0.406	0.828	13	1.154	159	0.092	43.396	Mary (10.435%)	John (10.203%)	Elizabeth (6.725%)	James (6.319%)	Sarah (5.855%)	Denis (13.333%)	Victoire (6.667%)	David (6.667%)	Albyn (6.667%)	Frances (6.667%)
1758	1956	891	1057	8	45.552	54.039	0.409	0.843	20	1.150	162	0.083	41.975	Mary (11.094%)	John (10.276%)	Ann (7.515%)	William (6.135%)	Elizabeth (5.573%)	Ann (13.043%)	Amelia (8.696%)	S (4.348%)	Fenton (4.348%)	E (4.348%)
1759	2357	1084	1264	9	45.991	53.627	0.382	0.858	28	1.000	181	0.077	41.436	Mary (10.395%)	John (9.631%)	Ann (7.043%)	Elizabeth (6.237%)	William (6.025%)	Ann (14.286%)	Maria (7.143%)	Elizabeth (7.143%)	Jane (3.571%)	Saddington (3.571%)
1760	2931	1387	1534	10	47.322	52.337	0.341	0.904	27	1.000	198	0.068	41.919	Mary (10.338%)	John (9.621%)	William (6.482%)	Ann (6.244%)	Elizabeth (6.005%)	Maria (14.815%)	Ann (11.111%)	H (7.407%)	Thomas (7.407%)	Lloyd (3.704%)
1761	3216	1522	1685	9	47.326	52.394	0.280	0.903	31	1.000	211	0.066	44.550	John (9.515%)	Mary (9.049%)	Ann (6.934%)	William (6.654%)	Elizabeth (5.877%)	Maria (19.355%)	Ann (9.677%)	S (6.452%)	A (6.452%)	H (6.452%)
1762	3390	1567	1810	13	46.224	53.392	0.383	0.866	37	1.081	208	0.061	36.058	Mary (9.912%)	John (9.263%)	Ann (6.932%)	Elizabeth (6.755%)	James (5.457%)	Ann (10.000%)	A (7.500%)	Charlotte (5.000%)	M (5.000%)	S (2.500%)
1763	3739	1722	2008	9	46.055	53.704	0.241	0.858	39	1.051	234	0.063	41.880	Mary (10.671%)	John (9.896%)	Ann (6.686%)	Elizabeth (6.258%)	William (5.857%)	Ann (9.756%)	M (7.317%)	H (7.317%)	William (4.878%)	A (4.878%)
1764	4224	2012	2198	14	47.633	52.036	0.331	0.915	52	1.019	233	0.055	37.768	Mary (10.251%)	John (10.180%)	Ann (6.676%)	William (6.534%)	Elizabeth (5.966%)	A (7.547%)	Ann (5.660%)	Maria (3.774%)	William (3.774%)	W (3.774%)
1765	4640	2239	2385	16	48.254	51.401	0.345	0.939	50	1.020	259	0.056	41.313	John (10.647%)	Mary (9.246%)	Ann (6.724%)	William (6.078%)	Thomas (5.862%)	Ann (9.804%)	Elizabeth (5.882%)	P (5.882%)	William (3.922%)	J (3.922%)
1766	4856	2363	2482	11	48.661	51.112	0.227	0.952	59	1.017	244	0.050	38.525	John (10.544%)	Mary (10.111%)	Ann (7.002%)	William (6.590%)	Thomas (5.725%)	Ann (8.333%)	Jane (3.333%)	Henry (3.333%)	Maria (3.333%)	S (1.667%)
1767	5190	2431	2739	20	46.840	52.775	0.385	0.888	73	1.014	258	0.050	42.636	John (9.769%)	Mary (9.114%)	Elizabeth (6.667%)	Ann (6.628%)	William (6.127%)	Ann (10.811%)	M (6.757%)	Elizabeth (4.054%)	Jane (2.703%)	Henry (2.703%)
1768	5567	2599	2953	15	46.686	53.045	0.269	0.880	68	1.074	277	0.050	42.599	John (9.916%)	Mary (9.520%)	Elizabeth (6.521%)	William (6.449%)	Ann (6.449%)	Ann (10.959%)	W (4.110%)	B (4.110%)	Edward (2.740%)	Maria (2.740%)
1769	6056	2818	3214	24	46.532	53.071	0.396	0.877	75	1.053	299	0.049	41.137	Mary (10.106%)	John (10.023%)	William (6.952%)	Ann (6.176%)	Elizabeth (5.845%)	Ann (10.127%)	Maria (6.329%)	S (3.797%)	Anne (3.797%)	F (3.797%)
1770	7210	3430	3756	24	47.573	52.094	0.333	0.913	104	1.048	315	0.044	43.492	John (9.681%)	Mary (9.653%)	William (6.699%)	Elizabeth (6.463%)	Ann (6.117%)	Ann (10.092%)	Elizabeth (4.587%)	S (2.752%)	Anne (2.752%)	Margaret (1.835%)
1771	7296	3377	3898	21	46.286	53.427	0.288	0.866	100	1.050	314	0.043	41.401	Mary (10.334%)	John (9.882%)	Ann (6.826%)	William (6.154%)	Elizabeth (6.099%)	Ann (12.381%)	A (3.810%)	E (2.857%)	Maria (2.857%)	W (2.857%)
1772	7570	3566	3978	26	47.107	52.550	0.343	0.896	90	1.000	323	0.043	43.344	John (9.458%)	Mary (9.406%)	Ann (6.499%)	Elizabeth (6.341%)	William (6.182%)	Ann (14.444%)	A (5.556%)	M (4.444%)	D (3.333%)	T (2.222%)
1773	8059	3747	4284	28	46.495	53.158	0.347	0.875	89	1.022	333	0.041	45.646	Mary (9.753%)	John (9.654%)	William (6.527%)	Ann (6.328%)	Elizabeth (6.068%)	Ann (13.187%)	F (4.396%)	J (3.297%)	Maria (3.297%)	G (3.297%)
1774	8317	3941	4349	27	47.385	52.290	0.325	0.906	126	1.032	344	0.041	45.640	John (9.799%)	Mary (9.378%)	Ann (6.240%)	William (6.132%)	Elizabeth (5.916%)	Ann (6.923%)	A (5.385%)	Elizabeth (2.308%)	H (2.308%)	Anthony (2.308%)
1775	8782	4077	4676	29	46.425	53.245	0.330	0.872	118	1.017	346	0.039	43.353	Mary (9.804%)	John (9.280%)	Ann (6.627%)	William (6.491%)	Elizabeth (6.274%)	Ann (14.167%)	Maria (5.000%)	S (4.167%)	B (2.500%)	H (2.500%)
1776	9095	4323	4757	15	47.532	52.303	0.165	0.909	127	1.031	348	0.038	45.690	Mary (10.258%)	John (9.962%)	William (6.608%)	Ann (6.564%)	Thomas (5.838%)	Ann (12.977%)	A (6.870%)	M (3.817%)	C (3.053%)	Maria (3.053%)
1777	11091	5343	5716	32	48.174	51.537	0.289	0.935	150	1.020	370	0.033	44.595	John (9.918%)	Mary (9.675%)	Ann (6.465%)	Thomas (6.338%)	William (6.266%)	Ann (11.111%)	A (5.229%)	S (3.268%)	M (3.268%)	Maria (3.268%)
1778	10953	5210	5705	38	47.567	52.086	0.347	0.913	141	1.057	369	0.034	41.463	John (9.842%)	Mary (9.742%)	William (6.984%)	Ann (6.610%)	James (6.035%)	Ann (11.409%)	A (4.698%)	Maria (4.027%)	M (3.356%)	C (3.356%)
1779	10640	5017	5595	28	47.152	52.585	0.263	0.897	144	1.035	356	0.033	41.573	John (9.859%)	Mary (9.633%)	William (6.964%)	Ann (6.579%)	Elizabeth (6.429%)	Ann (18.121%)	S (4.027%)	A (3.356%)	M (2.685%)	Anne (2.013%)
1780	11890	5696	6145	49	47.906	51.682	0.412	0.927	215	1.028	414	0.035	48.068	John (9.865%)	Mary (9.504%)	Ann (6.770%)	William (6.602%)	Thomas (5.492%)	Ann (10.860%)	A (7.240%)	M (3.167%)	J (2.262%)	Elizabeth (2.262%)
1781	12041	5742	6264	35	47.687	52.022	0.291	0.917	192	1.031	389	0.032	43.445	Mary (9.974%)	John (9.974%)	William (6.420%)	Ann (6.287%)	James (6.029%)	Ann (18.687%)	A (4.040%)	E (3.030%)	P (3.030%)	William (2.525%)
1782	12028	5739	6242	47	47.714	51.896	0.391	0.919	186	1.022	403	0.034	45.161	John (9.594%)	Mary (9.287%)	William (6.485%)	Ann (6.377%)	Elizabeth (5.853%)	Ann (15.789%)	A (5.789%)	M (3.684%)	Maria (3.158%)	H (2.632%)
1783	12640	5982	6619	39	47.326	52.366	0.309	0.904	229	1.057	414	0.033	46.135	John (9.684%)	Mary (9.644%)	William (6.495%)	Ann (6.353%)	James (5.926%)	Ann (14.463%)	A (4.959%)	M (3.306%)	Maria (3.306%)	Elizabeth (3.306%)
1784	13050	6202	6788	60	47.525	52.015	0.460	0.914	242	1.029	420	0.032	45.238	John (9.908%)	Mary (9.839%)	William (6.521%)	Ann (6.299%)	James (5.923%)	Ann (13.655%)	A (5.622%)	Maria (4.016%)	Elizabeth (3.614%)	M (3.213%)
1785	13655	6531	7079	45	47.829	51.842	0.330	0.923	243	1.025	442	0.032	47.285	John (9.784%)	Mary (9.352%)	William (6.664%)	Ann (6.269%)	James (5.851%)	Ann (12.851%)	A (6.024%)	M (2.811%)	Maria (2.811%)	B (2.008%)
1786	14040	6611	7385	44	47.087	52.600	0.313	0.895	257	1.016	431	0.031	43.155	Mary (10.000%)	John (9.744%)	William (6.417%)	Ann (6.083%)	Elizabeth (5.726%)	Ann (18.008%)	A (5.747%)	W (3.065%)	M (1.916%)	H (1.916%)
1787	14567	6970	7539	58	47.848	51.754	0.398	0.925	310	1.045	444	0.030	47.523	John (9.789%)	Mary (9.707%)	Ann (6.398%)	William (6.185%)	James (5.773%)	Ann (17.284%)	A (4.938%)	M (2.778%)	Maria (2.160%)	H (1.852%)
1788	15153	7169	7944	40	47.311	52.425	0.264	0.902	332	1.030	455	0.030	46.813	Mary (9.602%)	John (9.140%)	William (6.685%)	Ann (6.184%)	James (5.867%)	Ann (17.251%)	A (7.602%)	M (2.924%)	S (2.339%)	Maria (2.339%)
1789	15729	7438	8229	62	47.288	52.317	0.394	0.904	367	1.035	477	0.030	47.589	John (9.543%)	Mary (9.352%)	William (6.466%)	Ann (6.339%)	James (5.716%)	Ann (16.842%)	A (8.684%)	M (2.895%)	Maria (2.368%)	G (2.105%)
1790	17032	8265	8718	49	48.526	51.186	0.288	0.948	406	1.034	469	0.028	45.416	Mary (9.664%)	John (9.652%)	William (6.699%)	Ann (6.077%)	James (6.059%)	Ann (20.238%)	A (6.190%)	M (2.619%)	H (2.143%)	Jane (1.905%)
1791	16960	8038	8861	61	47.394	52.246	0.360	0.907	400	1.030	489	0.029	43.967	Mary (9.876%)	John (9.534%)	William (6.333%)	Ann (6.333%)	James (5.713%)	Ann (22.087%)	A (5.583%)	Maria (2.670%)	H (2.184%)	Henry (2.184%)
1792	16899	8075	8766	58	47.784	51.873	0.343	0.921	438	1.039	495	0.029	45.859	Mary (9.634%)	John (9.231%)	William (6.799%)	Ann (5.983%)	James (5.734%)	Ann (16.264%)	A (8.352%)	H (1.978%)	Maria (1.978%)	S (1.758%)
1793	17869	8588	9223	58	48.061	51.615	0.325	0.931	481	1.042	499	0.028	45.090	Mary (9.816%)	John (9.620%)	William (6.285%)	Ann (5.921%)	Elizabeth (5.680%)	Ann (19.760%)	A (7.784%)	Maria (3.194%)	Anne (1.996%)	Jane (1.796%)
1794	17871	8583	9231	57	48.028	51.654	0.319	0.930	527	1.023	514	0.029	47.082	Mary (9.770%)	John (9.518%)	William (6.485%)	James (5.965%)	Ann (5.618%)	Ann (23.006%)	A (7.421%)	Maria (1.855%)	Elizabeth (1.855%)	M (1.670%)
1795	18180	8885	9247	48	48.872	50.864	0.264	0.961	501	1.044	487	0.027	42.710	John (9.774%)	Mary (9.686%)	William (6.650%)	James (5.853%)	Ann (5.803%)	Ann (23.136%)	A (6.310%)	Anne (2.103%)	Elizabeth (1.721%)	Maria (1.530%)
1796	18877	9222	9609	46	48.853	50.903	0.244	0.960	507	1.036	493	0.026	45.030	Mary (9.578%)	John (9.392%)	William (7.067%)	James (5.917%)	Ann (5.674%)	Ann (22.857%)	A (7.810%)	Maria (2.476%)	Henry (1.905%)	S (1.714%)
1797	19613	9604	9941	68	48.968	50.686	0.347	0.966	580	1.026	525	0.027	47.238	Mary (10.009%)	John (9.331%)	William (6.735%)	James (5.756%)	Ann (5.619%)	Ann (23.361%)	A (10.420%)	Maria (3.025%)	Henry (1.849%)	M (1.513%)
1798	20152	9780	10308	64	48.531	51.151	0.318	0.949	701	1.027	547	0.027	44.059	Mary (9.652%)	John (9.617%)	William (6.456%)	Ann (5.935%)	James (5.592%)	Ann (23.889%)	A (6.111%)	Henry (2.361%)	Maria (1.944%)	Elizabeth (1.806%)
1799	20352	9835	10457	60	48.324	51.381	0.295	0.941	649	1.026	522	0.026	43.295	Mary (9.871%)	John (9.385%)	William (6.412%)	Ann (5.724%)	James (5.631%)	Ann (27.327%)	A (6.607%)	Maria (2.252%)	M (1.502%)	Elizabeth (1.502%)
1800	25363	12571	12726	66	49.564	50.175	0.260	0.988	891	1.030	590	0.023	48.305	John (9.786%)	Mary (9.632%)	William (6.687%)	James (5.922%)	Ann (5.760%)	Ann (23.965%)	A (7.734%)	Anne (1.307%)	H (1.198%)	Maria (1.198%)
1801	23566	11427	12065	74	48.489	51.197	0.314	0.947	870	1.029	558	0.024	45.161	John (9.616%)	Mary (9.382%)	William (6.518%)	Ann (5.763%)	Thomas (5.644%)	Ann (26.369%)	A (7.598%)	Maria (2.011%)	Elizabeth (1.899%)	Henry (1.788%)
1802	22383	10751	11569	63	48.032	51.687	0.281	0.929	826	1.019	581	0.026	45.095	Mary (9.583%)	John (9.512%)	William (6.201%)	Ann (5.942%)	James (5.759%)	Ann (26.485%)	A (7.482%)	Jane (1.544%)	Maria (1.544%)	Mary (1.544%)
1803	25100	12261	12773	66	48.849	50.888	0.263	0.960	953	1.026	589	0.023	46.520	Mary (9.988%)	John (9.394%)	William (6.562%)	James (5.884%)	Ann (5.470%)	Ann (26.789%)	A (8.282%)	Elizabeth (1.943%)	M (1.636%)	William (1.534%)
1804	25807	12694	13047	66	49.188	50.556	0.256	0.973	994	1.028	602	0.023	44.850	John (9.846%)	Mary (9.707%)	William (6.820%)	James (5.700%)	Thomas (5.576%)	Ann (28.767%)	A (6.947%)	M (1.957%)	Maria (1.566%)	H (1.468%)
1805	26428	12774	13585	69	48.335	51.404	0.261	0.940	1071	1.021	602	0.023	43.854	Mary (9.861%)	John (9.373%)	William (6.346%)	James (5.562%)	Ann (5.551%)	Ann (30.347%)	A (7.861%)	Henry (1.645%)	William (1.463%)	M (1.463%)
1806	26596	12895	13616	85	48.485	51.196	0.320	0.947	1112	1.029	649	0.024	47.458	John (9.422%)	Mary (9.261%)	William (6.576%)	James (5.670%)	Ann (5.651%)	Ann (25.962%)	A (8.829%)	M (1.486%)	Elizabeth (1.486%)	Mary (1.399%)
1807	26926	12750	14089	87	47.352	52.325	0.323	0.905	1171	1.033	622	0.023	47.267	Mary (9.675%)	John (9.099%)	William (6.451%)	Ann (5.935%)	Elizabeth (5.452%)	Ann (27.521%)	A (9.669%)	Elizabeth (2.479%)	Anne (1.653%)	Henry (1.570%)
1808	27404	13207	14086	111	48.194	51.401	0.405	0.938	1284	1.028	683	0.025	48.463	Mary (9.739%)	John (9.349%)	William (6.390%)	Ann (5.601%)	James (5.481%)	Ann (27.197%)	A (7.879%)	M (1.742%)	William (1.667%)	S (1.667%)
1809	28025	13415	14522	88	47.868	51.818	0.314	0.924	1434	1.037	628	0.022	42.675	Mary (9.706%)	John (8.996%)	William (6.562%)	Ann (5.848%)	James (5.609%)	Ann (27.034%)	A (7.532%)	Henry (1.681%)	M (1.412%)	Jane (1.412%)
1810	31291	15141	16056	94	48.388	51.312	0.300	0.943	1543	1.025	689	0.022	47.170	Mary (9.725%)	John (9.047%)	William (6.420%)	Ann (5.778%)	Thomas (5.513%)	Ann (29.412%)	A (7.274%)	Jane (1.708%)	Maria (1.645%)	Mary (1.392%)
1811	31794	15274	16426	94	48.041	51.664	0.296	0.930	1617	1.028	678	0.021	44.985	Mary (9.609%)	John (9.071%)	William (6.445%)	Ann (5.646%)	James (5.457%)	Ann (31.408%)	A (6.919%)	Henry (2.226%)	H (1.504%)	Jane (1.444%)
1812	31044	14814	16129	101	47.719	51.955	0.325	0.918	1655	1.020	727	0.023	48.831	Mary (9.760%)	John (8.990%)	William (6.455%)	James (5.499%)	Ann (5.441%)	Ann (28.732%)	A (6.872%)	Jane (1.718%)	William (1.540%)	Henry (1.540%)
1813	31031	14877	16060	94	47.942	51.755	0.303	0.926	1695	1.032	690	0.022	45.507	Mary (9.661%)	John (8.691%)	William (6.548%)	James (5.572%)	Ann (5.540%)	Ann (29.257%)	A (8.514%)	Henry (1.714%)	J (1.429%)	M (1.257%)
1814	31970	15169	16694	107	47.448	52.218	0.335	0.909	1686	1.021	715	0.022	46.154	Mary (9.612%)	John (8.592%)	William (6.387%)	Ann (5.812%)	James (5.436%)	Ann (30.139%)	A (6.330%)	Henry (2.091%)	Elizabeth (2.033%)	Jane (1.916%)
1815	34660	16583	17960	117	47.845	51.818	0.338	0.923	1998	1.036	744	0.021	48.522	Mary (9.709%)	John (8.941%)	William (6.215%)	Ann (5.525%)	James (5.398%)	Ann (28.309%)	A (7.729%)	Elizabeth (1.643%)	Jane (1.643%)	Henry (1.643%)
1816	35667	17120	18460	87	48.000	51.757	0.244	0.927	2082	1.028	753	0.021	46.481	Mary (9.488%)	John (8.731%)	William (6.653%)	James (5.495%)	Ann (5.411%)	Ann (28.258%)	A (7.006%)	Jane (2.008%)	Elizabeth (1.681%)	Henry (1.401%)
1817	35283	16560	18611	112	46.935	52.748	0.317	0.890	2179	1.029	704	0.020	42.188	Mary (9.798%)	John (8.446%)	William (6.247%)	Ann (5.459%)	James (5.289%)	Ann (30.598%)	A (8.252%)	Jane (1.740%)	Elizabeth (1.650%)	Henry (1.606%)
1818	35509	16765	18619	125	47.213	52.435	0.352	0.900	2336	1.031	730	0.021	48.082	Mary (9.966%)	John (8.710%)	William (6.415%)	Ann (5.525%)	Elizabeth (5.227%)	Ann (29.194%)	A (6.977%)	Jane (2.284%)	Henry (2.243%)	J (1.620%)
1819	40816	19277	21381	158	47.229	52.384	0.387	0.902	2727	1.032	878	0.022	53.303	Mary (9.433%)	John (8.389%)	William (6.343%)	Ann (5.554%)	Elizabeth (5.530%)	Ann (29.079%)	A (7.003%)	Jane (2.062%)	Elizabeth (1.813%)	Henry (1.564%)
1820	42881	20450	22284	147	47.690	51.967	0.343	0.918	3076	1.018	841	0.020	46.136	Mary (9.335%)	John (8.610%)	William (6.691%)	Elizabeth (5.431%)	Ann (5.371%)	Ann (30.077%)	A (6.673%)	Henry (2.107%)	Elizabeth (1.884%)	Jane (1.564%)
1821	41994	20089	21760	145	47.838	51.817	0.345	0.923	3055	1.030	815	0.019	46.380	Mary (9.792%)	John (8.556%)	William (6.558%)	Ann (5.396%)	James (5.296%)	Ann (29.752%)	A (8.042%)	Henry (2.702%)	Jane (2.098%)	Elizabeth (1.748%)
1822	41610	19509	21974	127	46.885	52.809	0.305	0.888	3038	1.024	820	0.020	46.585	Mary (9.676%)	John (8.250%)	William (6.124%)	Elizabeth (5.443%)	Ann (5.338%)	Ann (31.897%)	A (7.363%)	Jane (2.315%)	Elizabeth (1.897%)	Henry (1.768%)
1823	42146	19916	22084	146	47.255	52.399	0.346	0.902	3303	1.025	837	0.020	47.192	Mary (9.555%)	John (8.153%)	William (6.359%)	Elizabeth (5.441%)	James (5.403%)	Ann (29.770%)	A (6.852%)	Jane (2.688%)	Elizabeth (2.067%)	Henry (1.949%)
1824	43503	20505	22842	156	47.135	52.507	0.359	0.898	3455	1.026	901	0.021	50.610	Mary (9.655%)	John (8.307%)	William (6.544%)	Elizabeth (5.361%)	James (5.241%)	Ann (31.839%)	A (6.655%)	Jane (2.510%)	Henry (2.341%)	J (1.720%)
1825	43831	20615	23079	137	47.033	52.655	0.313	0.893	3627	1.028	826	0.019	45.278	Mary (9.459%)	John (8.024%)	William (6.267%)	Elizabeth (5.647%)	Thomas (5.277%)	Ann (31.528%)	A (6.756%)	Jane (2.413%)	Henry (2.386%)	Elizabeth (1.582%)
1826	44668	21185	23340	143	47.428	52.252	0.320	0.908	3802	1.025	873	0.020	48.339	Mary (9.559%)	John (8.104%)	William (6.179%)	Elizabeth (5.527%)	James (5.241%)	Ann (30.690%)	A (7.057%)	Jane (2.438%)	Elizabeth (2.002%)	Henry (1.976%)
1827	44139	20839	23123	177	47.212	52.387	0.401	0.901	3950	1.031	883	0.020	47.339	Mary (9.493%)	John (8.108%)	William (6.303%)	Elizabeth (5.659%)	James (5.179%)	Ann (29.961%)	A (6.876%)	Jane (2.873%)	Henry (2.112%)	Elizabeth (1.916%)
1828	44882	21169	23544	169	47.166	52.458	0.377	0.899	4029	1.026	909	0.020	48.735	Mary (9.157%)	John (8.063%)	William (6.116%)	Elizabeth (5.419%)	James (5.200%)	Ann (29.093%)	A (6.771%)	Jane (2.950%)	Henry (2.225%)	Elizabeth (1.717%)
