Year	No. of records with a forename	No. of male/mostly male forename records	No. of female/mostly female forename records	No. of gender-undetermined forename records	% of records with a male/mostly male forename	% of records with a female/mostly female forename	% of records with a gender-undetermined forename	Gender ratio of (male+mostly male)/(female + mostly female) forename records	No. of records with a middle name	Avg. no. of middle names per record (for records with >=1 middle name)	No. of different forenames seen	Forename diversity (i.e., ratio of the no. of different forenames to the total no. of records per year)	% of this year's forenames not used in the previous year	Most popular forename (% of records)	Second most popular forename (% of records)	Third most popular forename (% of records)	Fourth most popular forename (% of records)	Fifth most popular forename (% of records)	Most popular middle name (% of records)	Second most popular middle name (% of records)	Third most popular middle name (% of records)	Fourth most popular middle name (% of records)	Fifth most popular middle name (% of records)
1847	136350	68884	66675	791	50.520	48.900	0.580	1.033	27272	1.026	2182	0.016	52.108	Mary (8.541%)	John (8.014%)	William (7.042%)	Elizabeth (5.136%)	Thomas (4.963%)	Ann (16.795%)	A (8.780%)	Jane (5.566%)	Henry (4.136%)	J (3.886%)
1848	140440	71310	68405	725	50.776	48.708	0.516	1.042	29757	1.027	2212	0.016	54.747	Mary (8.622%)	John (7.981%)	William (7.254%)	Elizabeth (5.112%)	Thomas (5.043%)	Ann (15.610%)	A (9.182%)	Jane (5.620%)	J (4.435%)	Henry (4.327%)
1849	145696	73818	71093	785	50.666	48.795	0.539	1.038	31851	1.028	2255	0.015	54.102	Mary (8.639%)	John (7.957%)	William (7.144%)	Thomas (5.126%)	Elizabeth (4.964%)	Ann (15.144%)	A (9.557%)	Jane (5.440%)	J (4.936%)	Henry (4.218%)
1850	151002	76531	73661	810	50.682	48.781	0.536	1.039	34168	1.029	2354	0.016	53.738	Mary (8.605%)	John (7.972%)	William (7.126%)	Elizabeth (5.211%)	Thomas (5.049%)	Ann (15.148%)	A (8.533%)	Jane (5.762%)	Henry (4.451%)	J (4.349%)
1851	157419	79714	76888	817	50.638	48.843	0.519	1.037	36063	1.027	2408	0.015	52.492	Mary (8.719%)	John (7.991%)	William (6.988%)	Elizabeth (4.970%)	Thomas (4.969%)	Ann (15.415%)	A (8.339%)	Jane (5.917%)	Henry (4.572%)	J (4.394%)
1852	160532	81246	78400	886	50.610	48.838	0.552	1.036	38386	1.027	2383	0.015	53.756	Mary (8.725%)	John (7.997%)	William (6.937%)	Elizabeth (5.087%)	Thomas (4.969%)	Ann (15.201%)	A (8.303%)	Jane (6.004%)	J (4.629%)	Henry (4.479%)
1853	159563	81217	77535	811	50.900	48.592	0.508	1.047	39871	1.029	2302	0.014	52.085	Mary (8.760%)	John (8.065%)	William (7.025%)	Elizabeth (5.116%)	Thomas (4.943%)	Ann (14.285%)	A (8.084%)	Jane (5.789%)	Henry (4.433%)	J (4.358%)
1854	165412	83800	80788	824	50.661	48.840	0.498	1.037	43106	1.028	2397	0.014	53.609	Mary (8.747%)	John (8.049%)	William (7.061%)	Elizabeth (4.936%)	Thomas (4.734%)	Ann (13.369%)	A (8.709%)	Jane (5.843%)	Henry (4.597%)	J (4.534%)
1855	165251	83317	81095	839	50.418	49.074	0.508	1.027	44516	1.028	2358	0.014	51.993	Mary (8.871%)	John (8.057%)	William (6.730%)	Elizabeth (4.971%)	Thomas (4.785%)	Ann (13.484%)	A (8.441%)	Jane (5.587%)	J (4.645%)	Henry (4.593%)
1856	168970	85404	82771	795	50.544	48.986	0.470	1.032	47976	1.030	2452	0.015	53.834	Mary (8.813%)	John (7.969%)	William (6.843%)	Elizabeth (4.826%)	Thomas (4.796%)	Ann (13.069%)	A (8.008%)	Jane (5.724%)	J (4.739%)	E (4.548%)
1857	168566	85830	81950	786	50.918	48.616	0.466	1.047	49424	1.030	2462	0.015	51.462	Mary (8.781%)	John (8.044%)	William (6.797%)	Elizabeth (4.764%)	Thomas (4.653%)	Ann (12.952%)	A (7.621%)	Jane (5.622%)	Henry (4.757%)	J (4.500%)
1858	166165	84213	81153	799	50.680	48.839	0.481	1.038	50769	1.030	2418	0.015	50.331	Mary (8.784%)	John (7.783%)	William (6.683%)	Elizabeth (4.798%)	Thomas (4.693%)	Ann (12.665%)	A (7.323%)	Jane (5.836%)	Henry (4.687%)	J (4.475%)
1859	175174	88642	85690	842	50.602	48.917	0.481	1.034	54839	1.031	2503	0.014	52.417	Mary (8.665%)	John (7.776%)	William (6.805%)	Elizabeth (4.702%)	Sarah (4.590%)	Ann (12.577%)	A (7.319%)	Jane (5.660%)	Henry (4.747%)	E (4.473%)
1860	177245	90015	86372	858	50.786	48.730	0.484	1.042	56084	1.030	2600	0.015	52.154	Mary (8.775%)	John (7.880%)	William (6.732%)	Elizabeth (4.603%)	Thomas (4.527%)	Ann (12.195%)	A (7.234%)	Jane (5.718%)	Henry (4.836%)	E (4.493%)
1861	179700	91146	87633	921	50.721	48.766	0.513	1.040	57454	1.030	2678	0.015	52.987	Mary (8.656%)	John (7.792%)	William (6.677%)	Elizabeth (4.693%)	Thomas (4.430%)	Ann (12.076%)	A (7.068%)	Jane (5.481%)	Henry (4.499%)	E (4.492%)
1862	184245	93274	90075	896	50.625	48.889	0.486	1.036	59937	1.031	2680	0.015	51.679	Mary (8.508%)	John (7.682%)	William (6.487%)	Elizabeth (4.523%)	Sarah (4.366%)	Ann (11.846%)	A (6.796%)	Jane (5.497%)	Henry (4.558%)	E (4.369%)
1863	185127	94011	90228	888	50.782	48.738	0.480	1.042	62569	1.033	2640	0.014	51.477	Mary (8.378%)	John (7.543%)	William (6.366%)	Elizabeth (4.506%)	Thomas (4.301%)	Ann (11.062%)	A (6.805%)	Jane (5.321%)	E (4.930%)	Henry (4.299%)
1864	188224	95174	92116	934	50.564	48.940	0.496	1.033	64617	1.035	2712	0.014	52.471	Mary (8.308%)	John (7.462%)	William (6.313%)	Elizabeth (4.405%)	Sarah (4.234%)	Ann (11.210%)	A (6.525%)	Jane (5.306%)	E (4.701%)	Henry (4.402%)
1865	189264	95865	92488	911	50.651	48.867	0.481	1.037	66007	1.035	2674	0.014	51.832	Mary (8.112%)	John (7.497%)	William (6.347%)	Elizabeth (4.346%)	Thomas (4.186%)	Ann (10.618%)	A (6.202%)	Jane (5.377%)	Henry (4.528%)	E (4.525%)
1866	192191	97276	94001	914	50.614	48.910	0.476	1.035	67736	1.034	2775	0.014	53.153	Mary (8.031%)	John (7.495%)	William (6.369%)	Elizabeth (4.303%)	Thomas (4.142%)	Ann (10.057%)	A (6.596%)	Jane (5.175%)	E (5.035%)	Henry (4.417%)
1867	196483	99460	96088	935	50.620	48.904	0.476	1.035	69926	1.033	2804	0.014	52.746	Mary (7.957%)	John (7.532%)	William (6.191%)	Elizabeth (4.184%)	Thomas (4.137%)	Ann (10.086%)	A (6.420%)	Jane (5.173%)	E (4.711%)	Henry (4.606%)
1868	204513	103364	100178	971	50.542	48.984	0.475	1.032	73767	1.032	2774	0.014	51.694	Mary (7.814%)	John (7.265%)	William (6.206%)	Elizabeth (4.185%)	Thomas (4.054%)	Ann (10.043%)	A (5.882%)	Jane (5.114%)	E (4.780%)	Henry (4.548%)
1869	199724	101235	97537	952	50.687	48.836	0.477	1.038	73386	1.034	2759	0.014	51.830	Mary (7.646%)	John (7.202%)	William (6.038%)	Thomas (4.074%)	Elizabeth (4.028%)	Ann (9.671%)	A (6.109%)	E (5.228%)	Jane (4.771%)	Henry (4.374%)
1870	203407	102697	99831	879	50.488	49.079	0.432	1.029	75413	1.033	2755	0.014	51.797	Mary (7.475%)	John (7.087%)	William (6.078%)	Elizabeth (4.057%)	Thomas (3.891%)	Ann (8.912%)	A (6.506%)	E (5.584%)	Jane (4.590%)	Henry (4.224%)
1871	209513	105466	103095	952	50.339	49.207	0.454	1.023	79749	1.036	2807	0.013	53.438	Mary (7.407%)	John (7.062%)	William (6.031%)	Elizabeth (3.949%)	Thomas (3.876%)	Ann (8.389%)	A (6.653%)	E (5.643%)	Jane (4.491%)	Henry (4.191%)
1872	214762	108879	104905	978	50.698	48.847	0.455	1.038	83195	1.036	2937	0.014	53.967	Mary (7.264%)	John (7.026%)	William (6.051%)	Elizabeth (3.877%)	Thomas (3.870%)	Ann (8.479%)	A (6.425%)	E (5.811%)	Jane (4.501%)	Henry (4.119%)
1873	213142	107287	104906	949	50.336	49.219	0.445	1.023	83243	1.035	2867	0.013	52.215	Mary (7.079%)	John (6.966%)	William (5.948%)	Thomas (3.809%)	James (3.807%)	Ann (8.243%)	A (6.516%)	E (5.890%)	Jane (4.260%)	H (4.056%)
1874	223882	112940	109888	1054	50.446	49.083	0.471	1.028	88271	1.036	2989	0.013	53.663	Mary (6.998%)	John (6.855%)	William (5.932%)	Elizabeth (3.759%)	Thomas (3.735%)	Ann (8.299%)	A (6.037%)	E (5.581%)	Jane (4.364%)	Henry (4.138%)
1875	225032	114254	109758	1020	50.772	48.774	0.453	1.041	89624	1.036	3019	0.013	53.163	Mary (6.811%)	John (6.805%)	William (5.789%)	James (3.743%)	Thomas (3.736%)	Ann (7.545%)	A (6.231%)	E (6.073%)	H (3.966%)	Jane (3.964%)
1876	234084	117806	115210	1068	50.326	49.217	0.456	1.023	92891	1.037	3088	0.013	52.040	Mary (6.707%)	John (6.651%)	William (5.741%)	Thomas (3.645%)	James (3.571%)	Ann (7.127%)	A (6.794%)	E (6.778%)	H (4.284%)	J (3.917%)
1877	239778	120857	117782	1139	50.404	49.121	0.475	1.026	95413	1.038	3207	0.013	54.007	John (6.587%)	Mary (6.467%)	William (5.800%)	Thomas (3.621%)	James (3.593%)	A (6.844%)	E (6.798%)	Ann (6.655%)	H (4.227%)	J (3.904%)
1878	238998	120632	117247	1119	50.474	49.058	0.468	1.029	93895	1.038	3164	0.013	52.054	John (6.506%)	Mary (6.298%)	William (5.683%)	Thomas (3.666%)	James (3.577%)	E (6.711%)	A (6.659%)	Ann (6.542%)	H (4.114%)	J (3.759%)
1879	232038	117140	113821	1077	50.483	49.053	0.464	1.029	91537	1.040	3070	0.013	50.228	John (6.334%)	Mary (6.068%)	William (5.567%)	Thomas (3.512%)	James (3.464%)	E (6.889%)	A (6.841%)	Ann (6.097%)	H (4.232%)	J (3.670%)
1880	230722	116148	113479	1095	50.341	49.184	0.475	1.024	91131	1.040	3160	0.014	52.563	John (6.241%)	Mary (5.856%)	William (5.483%)	Thomas (3.480%)	James (3.420%)	E (7.272%)	A (6.955%)	Ann (5.601%)	H (4.442%)	J (3.824%)
1881	234654	118221	115264	1169	50.381	49.121	0.498	1.026	93101	1.042	3319	0.014	53.992	John (6.186%)	Mary (5.744%)	William (5.434%)	Thomas (3.405%)	James (3.400%)	E (7.015%)	A (6.544%)	Ann (5.636%)	H (4.427%)	J (3.766%)
1882	238874	119969	117797	1108	50.223	49.313	0.464	1.018	94627	1.040	3272	0.014	52.689	John (6.050%)	Mary (5.623%)	William (5.381%)	James (3.419%)	Thomas (3.372%)	E (7.238%)	A (6.725%)	Ann (5.399%)	H (4.378%)	J (3.714%)
1883	234118	118032	114947	1139	50.416	49.098	0.487	1.027	92170	1.042	3174	0.014	51.638	John (6.035%)	Mary (5.457%)	William (5.383%)	James (3.403%)	Thomas (3.300%)	E (7.210%)	A (6.860%)	Ann (5.035%)	H (4.639%)	J (3.890%)
1884	239365	121001	117274	1090	50.551	48.994	0.455	1.032	93598	1.041	3265	0.014	53.691	John (5.973%)	William (5.388%)	Mary (5.194%)	Thomas (3.366%)	James (3.325%)	E (7.427%)	A (6.907%)	Ann (4.813%)	H (4.769%)	J (3.879%)
1885	237283	119606	116586	1091	50.406	49.134	0.460	1.026	91833	1.043	3214	0.014	53.516	John (5.837%)	William (5.308%)	Mary (5.143%)	Thomas (3.297%)	James (3.245%)	E (7.139%)	A (6.834%)	Ann (4.711%)	H (4.691%)	M (3.914%)
1886	238751	119975	117536	1240	50.251	49.230	0.519	1.021	91659	1.043	3303	0.014	53.164	John (5.791%)	William (5.228%)	Mary (4.947%)	Thomas (3.219%)	James (3.219%)	E (7.409%)	A (6.756%)	H (4.853%)	Ann (4.531%)	M (4.014%)
1887	234148	117642	115304	1202	50.243	49.244	0.513	1.020	90439	1.045	3233	0.014	51.438	John (5.713%)	William (5.160%)	Mary (4.771%)	Thomas (3.243%)	James (3.188%)	E (7.286%)	A (6.819%)	H (4.447%)	Ann (4.201%)	M (3.846%)
1888	234460	117915	115501	1044	50.292	49.263	0.445	1.021	90070	1.044	3178	0.014	51.385	John (5.701%)	William (5.137%)	Mary (4.655%)	Thomas (3.185%)	James (3.160%)	E (7.229%)	A (6.493%)	H (4.629%)	M (4.181%)	Ann (4.127%)
1889	236593	119034	116463	1096	50.312	49.225	0.463	1.022	88905	1.042	3326	0.014	53.397	John (5.639%)	William (5.192%)	Mary (4.611%)	Thomas (3.206%)	James (3.110%)	E (7.115%)	A (6.221%)	H (4.535%)	M (4.276%)	Ann (3.929%)
1890	234220	117707	115521	992	50.255	49.322	0.424	1.019	88037	1.043	3118	0.013	49.583	John (5.574%)	William (5.109%)	Mary (4.374%)	Thomas (3.130%)	James (3.127%)	E (7.464%)	A (6.573%)	M (4.683%)	H (4.670%)	Ann (3.686%)
1891	243945	122955	119931	1059	50.403	49.163	0.434	1.025	90107	1.042	3286	0.013	52.495	John (5.540%)	William (5.087%)	Mary (4.196%)	James (3.090%)	Thomas (3.074%)	E (7.491%)	A (6.406%)	H (4.808%)	M (4.634%)	Ann (3.545%)
1892	241156	121118	118992	1046	50.224	49.342	0.434	1.018	91176	1.045	3236	0.013	51.916	John (5.479%)	William (5.022%)	Mary (4.198%)	Thomas (3.076%)	James (2.970%)	E (7.198%)	A (5.900%)	M (5.336%)	H (4.731%)	J (3.474%)
1893	243935	122613	120172	1150	50.265	49.264	0.471	1.020	90619	1.045	3323	0.014	53.054	John (5.409%)	William (5.030%)	Mary (3.985%)	James (2.994%)	Thomas (2.989%)	E (7.184%)	A (6.045%)	M (5.854%)	H (4.604%)	J (3.467%)
1894	240243	120290	118741	1212	50.070	49.425	0.504	1.013	90258	1.053	3386	0.014	52.983	John (5.278%)	William (4.986%)	Mary (3.833%)	Thomas (2.973%)	James (2.945%)	E (7.151%)	A (5.954%)	M (5.789%)	H (4.664%)	J (3.321%)
1895	246114	123672	121446	996	50.250	49.345	0.405	1.018	92404	1.051	3265	0.013	51.455	John (5.251%)	William (4.946%)	Mary (3.746%)	Thomas (2.981%)	James (2.944%)	E (6.911%)	A (5.935%)	M (5.761%)	H (4.664%)	W (3.221%)
1896	245303	122701	121586	1016	50.020	49.566	0.414	1.009	92934	1.052	3312	0.014	51.812	John (5.194%)	William (4.805%)	Mary (3.639%)	Thomas (2.971%)	James (2.882%)	E (7.220%)	M (6.167%)	A (5.942%)	H (4.622%)	J (3.338%)
1897	244716	122992	120472	1252	50.259	49.229	0.512	1.021	95583	1.056	3428	0.014	53.092	John (5.265%)	William (4.712%)	Mary (3.518%)	Thomas (2.905%)	James (2.875%)	E (7.670%)	M (6.571%)	A (6.140%)	H (4.723%)	W (3.574%)
1898	249705	124730	124019	956	49.951	49.666	0.383	1.006	96477	1.054	3231	0.013	51.842	John (5.211%)	William (4.855%)	Mary (3.468%)	Thomas (2.866%)	James (2.799%)	E (7.772%)	M (6.987%)	A (6.244%)	H (4.956%)	W (3.719%)
1899	251142	125684	124472	986	50.045	49.562	0.393	1.010	97013	1.052	3246	0.013	50.924	John (5.199%)	William (4.743%)	Mary (3.391%)	Thomas (2.837%)	James (2.814%)	E (7.623%)	M (6.732%)	A (6.067%)	H (4.843%)	W (3.622%)
1900	248188	124020	123209	959	49.970	49.643	0.386	1.007	99212	1.059	3220	0.013	50.963	John (5.255%)	William (4.693%)	Mary (3.347%)	Thomas (2.851%)	James (2.773%)	E (7.055%)	M (6.606%)	A (5.959%)	H (4.778%)	W (3.527%)
1901	230775	116018	113797	960	50.273	49.311	0.416	1.020	91120	1.053	3228	0.014	51.456	John (5.251%)	William (4.579%)	Mary (3.311%)	Thomas (2.803%)	James (2.746%)	E (8.023%)	M (6.520%)	A (5.842%)	H (4.448%)	W (3.476%)
1902	238405	119683	117741	981	50.202	49.387	0.411	1.016	92393	1.053	3252	0.014	52.768	John (5.092%)	William (4.503%)	Mary (3.233%)	Thomas (2.810%)	James (2.804%)	E (8.996%)	M (6.661%)	A (6.402%)	H (4.530%)	W (3.472%)
1903	238408	119504	118033	871	50.126	49.509	0.365	1.012	91370	1.054	3209	0.013	50.608	John (5.101%)	William (4.552%)	Mary (3.218%)	James (2.829%)	Thomas (2.758%)	E (7.900%)	M (7.154%)	A (6.057%)	H (4.756%)	W (3.625%)
1904	236517	118176	117380	961	49.965	49.629	0.406	1.007	89644	1.052	3300	0.014	50.303	John (5.073%)	William (4.483%)	Mary (3.195%)	Thomas (2.758%)	James (2.747%)	E (7.428%)	M (7.240%)	A (5.981%)	H (4.623%)	W (3.633%)
1905	234567	117327	116342	898	50.019	49.599	0.383	1.008	88087	1.052	3110	0.013	49.453	John (5.125%)	William (4.409%)	Mary (3.185%)	Thomas (2.806%)	James (2.766%)	E (7.514%)	M (7.382%)	A (5.895%)	H (4.438%)	W (3.556%)
1906	225396	112726	111804	866	50.012	49.603	0.384	1.008	84994	1.051	3043	0.014	50.115	John (5.155%)	William (4.370%)	Mary (3.181%)	James (2.784%)	Thomas (2.782%)	E (7.357%)	M (7.172%)	A (5.603%)	H (4.433%)	W (3.463%)
1907	221044	110637	109572	835	50.052	49.570	0.378	1.010	83457	1.054	3055	0.014	50.835	John (5.166%)	William (4.376%)	Mary (3.155%)	James (2.810%)	Thomas (2.773%)	E (7.325%)	M (7.289%)	A (5.583%)	H (4.289%)	W (3.524%)
1908	227108	112998	113228	882	49.755	49.856	0.388	0.998	84888	1.055	3102	0.014	51.128	John (5.115%)	William (4.303%)	Mary (3.187%)	James (2.803%)	Thomas (2.758%)	E (7.192%)	M (7.126%)	A (5.394%)	H (4.345%)	W (3.412%)
1909	218457	109333	108275	849	50.048	49.564	0.389	1.010	81913	1.056	3062	0.014	50.555	John (5.086%)	William (4.165%)	Mary (3.203%)	Thomas (2.765%)	James (2.718%)	M (7.278%)	E (7.105%)	A (5.403%)	H (4.359%)	W (3.494%)
1910	215309	107501	107008	800	49.929	49.700	0.372	1.005	81649	1.057	3007	0.014	49.451	John (4.981%)	William (4.141%)	Mary (3.331%)	George (2.810%)	James (2.738%)	M (7.891%)	E (7.269%)	A (5.474%)	H (4.312%)	J (3.396%)
1911	218875	109069	108976	830	49.832	49.789	0.379	1.001	84224	1.058	2988	0.014	48.929	John (5.050%)	William (3.972%)	Mary (3.920%)	George (3.587%)	Thomas (2.653%)	M (9.238%)	E (7.703%)	A (5.735%)	H (4.565%)	J (3.596%)
1912	201652	100897	99953	802	50.035	49.567	0.398	1.009	76884	1.059	2892	0.014	47.752	John (5.115%)	William (4.031%)	Mary (3.530%)	James (2.754%)	Thomas (2.703%)	M (7.634%)	E (6.811%)	A (5.137%)	H (4.128%)	W (3.383%)
1913	202699	100911	101061	727	49.784	49.858	0.359	0.999	77489	1.057	2865	0.014	49.738	John (5.040%)	William (3.960%)	Mary (3.497%)	George (2.821%)	James (2.661%)	M (8.050%)	E (6.773%)	A (5.298%)	H (4.025%)	J (3.522%)
1914	203785	101267	101753	765	49.693	49.932	0.375	0.995	78174	1.060	2950	0.014	49.966	John (5.031%)	William (3.966%)	Mary (3.402%)	James (2.707%)	George (2.646%)	M (8.074%)	E (6.490%)	A (5.224%)	H (4.057%)	J (3.460%)
1915	185980	92662	92590	728	49.824	49.785	0.391	1.001	75256	1.061	2903	0.016	48.743	John (5.048%)	William (3.654%)	Mary (3.276%)	George (2.728%)	James (2.580%)	M (7.953%)	E (6.393%)	A (5.021%)	H (3.978%)	J (3.783%)
1916	167109	83696	82732	681	50.085	49.508	0.408	1.012	70016	1.063	2788	0.017	49.677	John (4.885%)	William (3.621%)	Mary (3.097%)	James (2.583%)	Thomas (2.582%)	M (7.471%)	E (5.843%)	A (4.636%)	H (3.838%)	J (3.585%)
1917	141983	70615	70747	621	49.735	49.828	0.437	0.998	58857	1.063	2640	0.019	46.894	John (4.927%)	William (3.585%)	Mary (3.041%)	James (2.588%)	Thomas (2.505%)	M (7.373%)	E (5.645%)	A (4.657%)	H (3.650%)	J (3.606%)
1918	149705	74992	74082	631	50.093	49.485	0.421	1.012	60507	1.059	2635	0.018	49.298	John (4.864%)	William (3.645%)	Mary (2.901%)	James (2.518%)	Thomas (2.394%)	M (7.853%)	E (5.817%)	A (4.837%)	J (4.117%)	H (3.772%)
1919	151678	76353	74766	559	50.339	49.293	0.369	1.021	60095	1.059	2522	0.017	47.066	John (4.926%)	William (3.492%)	Mary (2.911%)	James (2.603%)	Thomas (2.429%)	M (7.348%)	E (5.523%)	A (4.257%)	J (3.928%)	H (3.642%)
1920	191356	95501	95151	704	49.908	49.725	0.368	1.004	80858	1.064	2748	0.014	50.364	John (4.891%)	William (3.717%)	Mary (2.830%)	James (2.670%)	Thomas (2.381%)	M (7.472%)	E (5.293%)	A (4.433%)	J (4.314%)	H (3.350%)
1921	181922	90691	90582	649	49.852	49.792	0.357	1.001	72714	1.061	2722	0.015	47.539	John (4.830%)	William (3.588%)	Mary (2.818%)	James (2.498%)	Thomas (2.393%)	M (7.354%)	E (5.318%)	J (4.491%)	A (4.240%)	H (3.192%)
1922	156931	78286	78056	589	49.886	49.739	0.375	1.003	67041	1.061	2564	0.016	46.607	John (4.830%)	William (3.445%)	Mary (3.034%)	James (2.458%)	Thomas (2.261%)	M (7.595%)	E (5.149%)	J (4.521%)	A (4.066%)	H (3.169%)
1923	151717	75520	75576	621	49.777	49.814	0.409	0.999	66755	1.067	2524	0.017	46.236	John (4.846%)	William (3.295%)	Mary (2.935%)	Margaret (2.382%)	James (2.339%)	M (7.320%)	E (5.327%)	J (4.663%)	A (4.217%)	H (3.309%)
1924	154517	77118	76811	588	49.909	49.710	0.381	1.004	64859	1.064	2468	0.016	46.434	John (4.744%)	William (3.243%)	Mary (2.781%)	Margaret (2.510%)	James (2.292%)	M (6.990%)	E (5.113%)	J (4.429%)	A (3.988%)	H (2.989%)
1925	143404	71345	71504	555	49.751	49.862	0.387	0.998	63481	1.061	2457	0.017	46.032	John (4.671%)	William (3.187%)	Mary (2.708%)	Margaret (2.448%)	James (2.305%)	M (7.239%)	E (5.153%)	J (4.774%)	A (3.968%)	H (3.128%)
1926	140205	69890	69783	532	49.848	49.772	0.379	1.002	62908	1.063	2384	0.017	45.344	John (4.705%)	William (2.950%)	Mary (2.608%)	Margaret (2.372%)	Joan (2.303%)	M (7.025%)	E (5.056%)	J (4.705%)	A (3.861%)	Mary (2.971%)
1927	139547	69650	69347	550	49.911	49.694	0.394	1.004	59636	1.060	2421	0.017	46.716	John (4.656%)	William (2.838%)	Mary (2.484%)	Margaret (2.383%)	Joan (2.183%)	M (6.922%)	E (5.150%)	J (4.681%)	A (4.037%)	Mary (2.899%)
1928	133739	66936	66265	538	50.050	49.548	0.402	1.010	60670	1.060	2393	0.018	46.302	John (4.616%)	William (2.840%)	Margaret (2.449%)	Mary (2.416%)	Joan (2.232%)	M (6.762%)	E (4.877%)	J (4.814%)	A (3.894%)	Mary (2.980%)
1929	128362	64207	63669	486	50.020	49.601	0.379	1.008	59081	1.057	2264	0.018	43.772	John (4.770%)	William (2.724%)	Margaret (2.478%)	Mary (2.371%)	Joan (2.141%)	M (6.903%)	E (4.660%)	J (4.518%)	A (3.951%)	Mary (2.880%)
1930	135628	67848	67293	487	50.025	49.616	0.359	1.008	60099	1.055	2350	0.017	46.681	John (4.698%)	Margaret (3.072%)	William (2.691%)	Mary (2.245%)	Joan (2.156%)	M (7.365%)	J (5.084%)	E (4.715%)	A (4.139%)	Mary (2.896%)
1931	125637	63098	62022	517	50.222	49.366	0.412	1.017	59534	1.056	2304	0.018	44.271	John (4.826%)	Margaret (3.726%)	William (2.638%)	Jean (2.254%)	Mary (2.176%)	M (7.567%)	J (5.244%)	E (4.721%)	A (4.397%)	R (3.026%)
1932	120937	60875	59589	473	50.336	49.273	0.391	1.022	57036	1.050	2270	0.019	44.978	John (5.022%)	Margaret (3.464%)	Jean (2.372%)	William (2.367%)	Mary (2.069%)	M (7.121%)	J (4.839%)	A (4.290%)	E (4.133%)	Mary (2.939%)
